PC,Importance,Rank
PC1,0.014212641725447128,5
PC2,0.1024777457678295,2
PC3,0.06789560591824306,4
PC4,0.010130776476975356,6
PC5,0.19632108730948292,1
PC6,0.08474016581077144,3
PC7,0.004258604558223772,7
