Behavioral_Measure,N_Subjects,N_Features,Spearman_Rho,P_Value,R2
srs_total_score_standard,99,4,0.09037128395469889,0.37368866328846884,0.01299132457434704
social_awareness_tscore,99,4,0.19108316892123847,0.05814486380189065,0.03023072909492419
