Behavioral_Measure,N_Subjects,N_Features,Spearman_Rho,P_Value,R2
ados_total,129,23,0.42753886979489136,4.33979551846742e-07,0.2216632397492797
ados_social,129,23,0.42796748223489384,4.213946984056501e-07,0.22403600185650718
ados_comm,128,23,0.4731306470226777,1.7034478830370862e-08,0.21800164119064136
