PC,Importance,Rank
PC1,0.12050310697518037,4
PC2,0.11437859023526507,5
PC3,0.05883896486316724,7
PC4,0.204196795290578,3
PC5,0.3380353301230012,2
PC6,0.3649476745655189,1
PC7,0.11433420491663845,6
